country;RAAUC;population;RegularDeaths;2020Deaths;2021Deaths;2022Deaths;EXD2020;EXD2021;EXD2022;RDBP;IDPP2020;IDPP2021;IDPP2022;EDPP2020;EDPP2021;EDPP2022;X;Y
Bahamas;12.0;407906.0;2434.8;3016.0;111956.0;120070.66666666667;581.1999999999998;109521.2;117635.86666666667;5969.022274739769;7393.860350178718;274465.19541266863;294358.6676015226;1424.8380754389489;268496.1731379288;288389.6453267828;281859.0557628473;0.7216335812700048
Barbados;12.0;281200.0;2642.6;2713.0;2489.0;322573.3333333333;70.40000000000009;-153.5999999999999;319930.73333333334;9397.581792318635;9647.937411095307;8851.351351351352;1147131.3418681838;250.35561877667172;-546.2304409672828;1137733.7600758655;18499.288762446657;4.079414444765945
Belarus;12.0;9578168.0;119931.4;144536.0;727.0;137833.86046511628;24604.600000000006;-119204.4;17902.46046511628;12521.329757423338;15090.150851394546;75.90177996460284;14390.420011960145;2568.821093971207;-12445.427977458738;1869.0902545368049;15166.05263135915;0.0015024188354140525
Belgium;52.0;11611420.0;109179.27969348658;126008.75471698114;84301.0;286968.1904761905;16829.475023494568;-24878.279693486576;177788.9107827039;9402.750024845074;10852.139937835436;7260.1800641093;24714.306301571254;1449.3899129903637;-2142.5699607357733;15311.556276726178;18112.320001944736;0.002128448226105959
Belize;12.0;400031.0;1896.0;2158.0;48503.0;57335.99999999999;262.0;46607.0;55439.99999999999;4739.632678467419;5394.581919901208;121248.10327199643;143328.89201086914;654.9492414337889;116508.47059352901;138589.2593324017;126642.68519189765;0.35829446220635186
Bermuda;12.0;64185.0;503.8;566.0;1855622.0;6936.8;62.19999999999999;1855118.2;6433.0;7849.185946872321;8818.25971800265;28910524.265794188;108075.09542728052;969.0737711303262;28902675.079847317;100225.9094804082;28919342.525512192;1.6838061140029683
Bolivia;12.0;12079472.0;50612.8;74863.0;148640.0;116384.21052631579;24250.199999999997;98027.2;65771.41052631578;4189.984462897054;6197.539097735398;12305.173603614463;9634.875640782626;2007.5546348383436;8115.189140717408;5444.891177885572;18502.71270134986;0.0007976239061428037
Bosnia;12.0;0.0;36898.4;42803.0;308490.0;58472.18604651162;5904.5999999999985;271591.6;21573.786046511617;inf;inf;inf;inf;inf;inf;inf;inf;inf
Brazil;12.0;214326223.0;1310626.4;1556824.0;137085.0;90567.09999999999;246197.6000000001;-1173541.4;-1220059.2999999998;6115.100530652285;7263.805512030135;639.6090878716227;422.56658439784104;1148.7049813778508;-5475.491442780662;-5692.533946254443;7903.414599901757;1.971604680393407e-06
Brunei;12.0;445373.0;1648.8000000000002;1752.0;361223.0;623550.0;103.19999999999982;359574.2;621901.2;3702.065459738242;3933.7813473201118;811057.248643272;1400062.4195898718;231.71588758186917;807355.1831835338;1396360.3541301335;814991.0299905922;3.1435727347411535
Bulgaria;52.0;6885868.0;108480.56704980842;123538.2641509434;31081.0;17209.52380952381;15057.697101134981;-77399.56704980842;-91271.0432402846;15754.087509346451;17940.84117658709;4513.737411173144;2499.2526446228435;2186.753667240642;-11240.350098173307;-13254.834864723605;22454.578587760236;0.0003629538998747643
Cabo Verde;12.0;0.0;2691.2000000000003;2959.0;62642.0;514.6666666666666;267.7999999999997;59950.8;-2176.5333333333338;inf;inf;inf;inf;inf;inf;-inf;inf;inf
Canada;52.0;38155012.0;275362.91187739465;306412.4528301887;167645.0;61395.1;31049.54095279402;-107717.91187739465;-213967.81187739465;7216.952569098777;8030.72615545734;4393.787112424444;1609.0965978466995;813.7735863585633;-2823.1654566743327;-5607.855971252077;12424.513267881784;4.2172614120700564e-05
Chile;52.0;19493184.0;106306.5;125053.1320754717;7078.0;636819.9024390244;18746.6320754717;-99228.5;530513.4024390244;5453.5216001654735;6415.223499427887;363.10127683604685;32668.84991384806;961.701899262414;-5090.4203233294265;27215.32831368259;6778.324776263934;0.0016759114321112476
