,iso3c,country_name,year,time,time_unit,deaths
102,SYC,Seychelles,2021,12,monthly,8034202
103,SGP,Singapore,2022,9,monthly,800568
104,SVK,Slovakia,2022,37,weekly,805203
105,SVN,Slovenia,2022,41,weekly,806549
106,ZAF,South Africa,2022,43,weekly,866854
107,KOR,South Korea,2022,30,weekly,860641
108,ESP,Spain,2022,39,weekly,873837
109,SUR,Suriname,2020,12,monthly,32621933
110,SWE,Sweden,2022,40,weekly,867887
111,CHE,Switzerland,2022,40,weekly,868607
112,TWN,Taiwan,2022,10,monthly,873528
113,TJK,Tajikistan,2020,12,monthly,33296067
114,THA,Thailand,2022,10,monthly,894009
115,TRA,Transnistria,2022,3,monthly,-3067434
116,TUN,Tunisia,2021,12,monthly,9288083
117,UKR,Ukraine,2022,1,monthly,764574
118,GBR,United Kingdom,2022,42,weekly,787310
119,USA,United States,2022,40,weekly,1134372
120,URY,Uruguay,2022,8,monthly,1134191
