country;RAAUC;RegularDeaths;2020Deaths;2021Deaths;2022Deaths;EXD2020;EXD2021;EXD2022;population;RDBP;IRDPP2020;IRDPP2021;IRDPP2022;EDPP2020;EDPP2021;EDPP2022
Lithuania;52.0;40049.36398467433;43485.735849056604;13274.0;442688.0930232558;3436.371864382272;-26775.36398467433;402638.7290385815;2786651.0;0.014371862132959719;0.01560501686399072;0.0047634239092014035;0.15886025663897482;0.0012331547310310018;-0.009608438223758314;0.1444883945060151
Luxembourg;52.0;4149.839080459769;4578.943396226416;1094.0;123441.33333333334;429.1043157666463;-3055.8390804597693;119291.49425287357;639321.0;0.006491010119266799;0.007162197700726889;0.0017111904661351652;0.19308193119471023;0.0006711875814600902;-0.004779819653131634;0.18659092107544342
Macao;12.0;2207.7999999999997;2230.0;1089683.0;35133.799999999996;22.200000000000273;1087475.2;32925.99999999999;686607.0;0.0032155221254662417;0.0032478550320634656;1.5870548945757907;0.05117017449574501;3.2332906597224134e-05;1.5838393724503246;0.047954652370278766
Malaysia;12.0;166386.4;166507.0;45386.0;2688.0;120.60000000000582;-121000.4;-163698.4;33573874.0;0.004955829643013493;0.004959421721782836;0.0013518249338756677;8.0062253167448e-05;3.592078769343264e-06;-0.0036040047091378253;-0.004875767389846045
Maldives;12.0;1170.8;1275.0;593.0;274622.947368421;104.20000000000005;-577.8;273452.147368421;521458.0;0.002245243145181395;0.0024450674838625546;0.0011371960924945058;0.5266444226925677;0.00019982433868115946;-0.0011080470526868894;0.5243991795473865
Malta;52.0;3534.406130268199;4066.7924528301887;19931.0;1931068.0;532.3863225619898;16396.5938697318;1927533.5938697318;526748.0;0.006709861509238192;0.007720565531962511;0.03783782757599459;3.6660186654719147;0.0010107040227243195;0.031127966066756402;3.659308803962676
Martinique;52.0;3271.6168582375476;3565.4339622641505;9066.909090909092;6600.195121951219;293.8171040266029;5795.292232671544;3328.5782637136717;0.0;inf;inf;inf;inf;inf;inf;inf
Mauritius;12.0;10404.4;11060.0;170051.0;474.0;655.6000000000004;159646.6;-9930.4;1298915.0;0.008010069942990881;0.008514798889842676;0.13091772748794187;0.00036491995242182897;0.0005047289468517958;0.12290765754495098;-0.007645149990569052
Mayotte;52.0;692.735632183908;924.2264150943397;1983.0;265.3333333333333;231.49078291043168;1290.264367816092;-427.4022988505747;0.0;inf;inf;inf;inf;inf;inf;-inf
Mexico;52.0;696709.3486590039;1066931.0943396227;34792.0;114322.66666666666;370221.7456806188;-661917.3486590039;-582386.6819923372;126705138.0;0.005498666902197793;0.008420582710226185;0.0002745902853600144;0.0009022733290158024;0.002921915808028391;-0.005224076616837778;-0.00459639357318199
